,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,quality
0,7.4,0.7,0.0,0.076,34.0,0.9978,0.56,low
1,7.8,0.88,0.0,0.098,67.0,0.9968,0.68,low
2,7.8,0.76,0.04,0.092,54.0,0.997,0.65,low
3,11.2,0.28,0.56,0.075,60.0,0.998,0.58,low
4,7.4,0.7,0.0,0.076,34.0,0.9978,0.56,low
5,7.4,0.66,0.0,0.075,40.0,0.9978,0.56,low
6,7.9,0.6,0.06,0.069,59.0,0.9964,0.46,low
7,7.3,0.65,0.0,0.065,21.0,0.9946,0.47,high
8,7.8,0.58,0.02,0.073,18.0,0.9968,0.57,high
9,7.5,0.5,0.36,0.071,102.0,0.9978,0.8,low
10,6.7,0.58,0.08,0.097,65.0,0.9959,0.54,low
11,7.5,0.5,0.36,0.071,102.0,0.9978,0.8,low
12,5.6,0.615,0.0,0.08900000000000001,59.0,0.9943,0.52,low
13,7.8,0.61,0.29,0.114,29.0,0.9974,1.56,low
14,8.9,0.62,0.18,0.17600000000000002,145.0,0.9986,0.88,low
15,8.9,0.62,0.19,0.17,148.0,0.9986,0.93,low
16,8.5,0.28,0.56,0.092,103.0,0.9969,0.75,high
17,8.1,0.56,0.28,0.368,56.0,0.9968,1.28,low
18,7.4,0.59,0.08,0.086,29.0,0.9974,0.5,low
19,7.9,0.32,0.51,0.341,56.0,0.9969,1.08,low
20,8.9,0.22,0.48,0.077,60.0,0.9968,0.53,low
21,7.6,0.39,0.31,0.08199999999999999,71.0,0.9982,0.65,low
22,7.9,0.43,0.21,0.106,37.0,0.9966,0.91,low
23,8.5,0.49,0.11,0.084,67.0,0.9968,0.53,low
24,6.9,0.4,0.14,0.085,40.0,0.9968,0.63,low
25,6.3,0.39,0.16,0.08,23.0,0.9955,0.56,low
26,7.6,0.41,0.24,0.08,11.0,0.9962,0.59,low
27,7.9,0.43,0.21,0.106,37.0,0.9966,0.91,low
28,7.1,0.71,0.0,0.08,35.0,0.9972,0.55,low
29,7.8,0.645,0.0,0.08199999999999999,16.0,0.9964,0.59,low
30,6.7,0.675,0.07,0.08900000000000001,82.0,0.9958,0.54,low
31,6.9,0.685,0.0,0.105,37.0,0.9966,0.57,low
32,8.3,0.655,0.12,0.083,113.0,0.9966,0.66,low
33,6.9,0.605,0.12,0.073,83.0,0.9993,0.52,low
34,5.2,0.32,0.25,0.103,50.0,0.9957,0.55,low
35,7.8,0.645,0.0,0.086,18.0,0.9986,0.55,low
36,7.8,0.6,0.14,0.086,15.0,0.9975,0.6,low
37,8.1,0.38,0.28,0.066,30.0,0.9968,0.73,high
38,5.7,1.13,0.09,0.172,19.0,0.994,0.48,low
39,7.3,0.45,0.36,0.07400000000000001,87.0,0.9978,0.83,low
40,7.3,0.45,0.36,0.07400000000000001,87.0,0.9978,0.83,low
41,8.8,0.61,0.3,0.08800000000000001,46.0,0.9976,0.51,low
42,7.5,0.49,0.2,0.332,14.0,0.9968,0.9,low
43,8.1,0.66,0.22,0.069,23.0,0.9968,1.2,low
44,6.8,0.67,0.02,0.05,11.0,0.9962,0.52,low
45,4.6,0.52,0.15,0.054000000000000006,65.0,0.9934,0.56,low
46,7.7,0.935,0.43,0.114,114.0,0.997,0.73,low
47,8.7,0.29,0.52,0.113,37.0,0.9969,0.58,low
48,6.4,0.4,0.23,0.066,12.0,0.9958,0.56,low
49,5.6,0.31,0.37,0.07400000000000001,96.0,0.9954,0.58,low
50,8.8,0.66,0.26,0.07400000000000001,23.0,0.9971,0.74,low
51,6.6,0.52,0.04,0.069,15.0,0.9956,0.63,low
52,6.6,0.5,0.04,0.068,14.0,0.9955,0.64,low
53,8.6,0.38,0.36,0.081,119.0,0.997,0.56,low
54,7.6,0.51,0.15,0.11,73.0,0.9955,0.63,low
55,7.7,0.62,0.04,0.084,45.0,0.9978,0.53,low
56,10.2,0.42,0.57,0.07,10.0,0.9971,0.63,low
57,7.5,0.63,0.12,0.111,110.0,0.9983,0.77,low
58,7.8,0.59,0.18,0.076,54.0,0.9975,0.59,low
59,7.3,0.39,0.31,0.07400000000000001,46.0,0.9962,0.54,low
60,8.8,0.4,0.4,0.079,52.0,0.998,0.64,low
61,7.7,0.69,0.49,0.115,112.0,0.9968,0.71,low
62,7.5,0.52,0.16,0.085,35.0,0.9968,0.62,high
63,7.0,0.735,0.05,0.081,54.0,0.9966,0.57,low
64,7.2,0.725,0.05,0.086,11.0,0.9962,0.39,low
65,7.2,0.725,0.05,0.086,11.0,0.9962,0.39,low
66,7.5,0.52,0.11,0.079,39.0,0.9968,0.58,low
67,6.6,0.705,0.07,0.076,15.0,0.9962,0.58,low
68,9.3,0.32,0.57,0.07400000000000001,65.0,0.9969,0.79,low
69,8.0,0.705,0.05,0.07400000000000001,19.0,0.9962,0.95,low
